Phylum;Class;Order;Family;Genus;strain;name;short;conc;TPEN_conc;AUCsmean;sdAUC;maxODmean;sdmax;finalODmean;sdfinal
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;5001;Phocaeicola vulgatus;P. vulgatus;120 µM;120;0,02725140554818824;0,011222716165251584;0,034555242599342208;0,013581527491421937;0,034555242599342208;0,013581527491421937
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;5001;Phocaeicola vulgatus;P. vulgatus;130 µM;130;0,02421806014054053;0,010731236837155041;0,033090459730456913;0,013622424800109502;0,033090459730456913;0,013622424800109502
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;5001;Phocaeicola vulgatus;P. vulgatus;140 µM;140;0,02247623619878453;0,010588771496199297;0,031848740200942069;0,011943603872704378;0,031848740200942069;0,011943603872704378
Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;5071;Parabacteroides merdae;P. merdae;blank;blank;0,00654120056698086;0,003454092880558344;0,008035714285714287;0,020579743818977970;-0,005960131180820142;0,006894846793835186
Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;5071;Parabacteroides merdae;P. merdae;0 µM;0;1,00000000000000000;0,000000000000000000;1,005990017723102481;0,028317875838288816;1,005990017723102481;0,028317875838288816
Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;5071;Parabacteroides merdae;P. merdae;54 µM;54;0,99846063538411922;0,023520805854477224;0,991261719397251606;0,012989783089247977;0,991261719397251606;0,012989783089247977
Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;5071;Parabacteroides merdae;P. merdae;60 µM;60;1,01083966463164732;0,023852962027795351;0,999157559674321627;0,018814120813337158;0,999157559674321627;0,018814120813337158
Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;5071;Parabacteroides merdae;P. merdae;70 µM;70;1,04236985907988178;0,023262623014623673;1,023820691626941004;0,026439765141998334;1,023820691626941004;0,026439765141998334
Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;5071;Parabacteroides merdae;P. merdae;80 µM;80;0,67056725329182232;0,418538012986578722;0,694088867689187650;0,365648104577900313;0,694088867689187650;0,365648104577900313
Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;5071;Parabacteroides merdae;P. merdae;90 µM;90;0,24822471078659264;0,373673137401293154;0,261176687220777304;0,353287143906264922;0,261079030970777282;0,353368516962491885
Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;5071;Parabacteroides merdae;P. merdae;100 µM;100;0,01128377226379127;0,004695263822051490;0,017628753073443030;0,017267335762328022;0,009718596823443032;0,007411122306589754
Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;5071;Parabacteroides merdae;P. merdae;110 µM;110;0,00884035064211420;0,005240061035234862;0,013730390538176210;0,022427827576842124;0,005228046138758089;0,003189552760496698
Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;5071;Parabacteroides merdae;P. merdae;120 µM;120;0,00874959187977481;0,004421404418956917;0,013306432419871230;0,021966549629764642;0,005279867971616868;0,003030418359322228
Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;5071;Parabacteroides merdae;P. merdae;130 µM;130;0,00827607791569696;0,004056751568351582;0,012573443353429225;0,019300747922068203;0,005132816405174863;0,004444018349315876
Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;5071;Parabacteroides merdae;P. merdae;140 µM;140;0,01057815542292457;0,004961883318880650;0,015626829636708896;0,018480710223200518;0,009077610237290775;0,006553460152294971
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;5019;Segatella copri;S. copri;blank;blank;0,00432520178563338;0,003093480941474768;0,006982582581494167;0,017205027790642684;-0,002746759454776190;0,003136864304586677
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;5019;Segatella copri;S. copri;0 µM;0;1,00000000000000000;0,000000000000000000;1,000290311702534796;0,004660534475519916;1,000290311702534796;0,004660534475519916
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;5019;Segatella copri;S. copri;54 µM;54;1,00283232865781380;0,009183818132315764;1,007578914324396058;0,009088674270262574;1,007578914324396058;0,009088674270262574
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;5019;Segatella copri;S. copri;60 µM;60;1,00859322476977220;0,017228826723704689;1,007722921487878454;0,009996929643290452;1,007722921487878454;0,009996929643290452
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;5019;Segatella copri;S. copri;70 µM;70;0,98971888671282271;0,032051486759750204;0,984899891349113932;0,027900027927689017;0,984899891349113932;0,027900027927689017
